name,section,side
R,190,L
RMC,190,L
RMC,191,L
RMC,192,L
RMC,193,L
RMC,194,L
RMC,195,L
RMC,196,L
RMC,197,L
RMC,198,L
RMC,199,L
RMC,200,L
RMC,201,L
RMC,202,L
RMC,203,L
RMC,204,L
RMC,205,L
RMC,206,L
RMC,207,L
RMC,208,L
RMC,209,L
RMC,210,L
RMC,211,L
RMC,212,L
RMC,213,L
RMC,214,L
RMC,215,L
RMC,238,R
RMC,239,R
RMC,240,R
RMC,241,R
RMC,242,R
RMC,243,R
RMC,244,R
RMC,245,R
RMC,246,R
RMC,247,R
RMC,248,R
RMC,249,R
RMC,250,R
RMC,251,R
RMC,252,R
RMC,253,R
RMC,254,R
RMC,255,R
RMC,256,R
RMC,257,R
RMC,258,R
RMC,259,R
RMC,260,R
RMC,261,R
RMC,262,R
RMC,263,R
RMC,264,R
RMC,265,R
RMC,266,R
RMC,267,R
RMC,268,R
VTA,200,L
VTA,201,L
VTA,202,L
VTA,203,L
VTA,204,L
VTA,207,L
VTA,208,L
VTA,209,L
VTA,210,L
VTA,211,L
