name,DK39,DK41,DK43,DK52,DK54,DK55
10N_L_dx,-348.05000000000064,212.63000000000034,-648.2000000000005,,-418.4299999999996,
10N_L_dy,-1940.3359999999998,-1430.8359999999993,-1635.7959999999998,,-1034.1059999999998,
10N_L_dz,-410.0,470.0,-150.0,,30.0,
10N_L_dist,2013.4901527934026,1520.9875659570655,1765.925194796201,,1115.9564884600113,
10N_R_dx,712.0299999999997,515.1999999999998,-132.2199999999998,,22.6400000000001,
10N_R_dy,-1791.6659999999997,-1373.5459999999994,-1457.9459999999995,,-1058.2559999999994,
10N_R_dz,-230.0,790.0,150.0,,210.0,
10N_R_dist,1941.6368806901044,1666.1811588527817,1471.5939206574612,,1079.1285053857112,
3N_L_dx,419.3900000000002,853.94,466.15999999999985,,811.3499999999999,
3N_L_dy,-694.6699999999998,-693.4399999999999,-773.4799999999996,,-435.0399999999996,
3N_L_dz,-220.0,60.0,-340.0,,-40.0,
3N_L_dist,840.7463238099825,1101.6680794141218,964.9748473405922,,921.492606644242,
3N_R_dx,448.03,713.8499999999999,389.71000000000004,,718.9100000000002,
3N_R_dy,-621.6499999999996,-661.9599999999997,-718.2799999999997,,-435.2299999999997,
3N_R_dz,-340.0,-80.0,-460.0,,-160.0,
3N_R_dist,838.3195115229036,976.8177230681267,937.7633190203163,,855.4862599714854,
4N_L_dx,500.7099999999997,857.4999999999994,460.8299999999997,,794.0999999999997,
4N_L_dy,-763.7599999999998,-733.56,-800.2999999999997,,-464.11,
4N_L_dz,-10.0,330.0,-90.0,,190.0,
4N_L_dist,913.31256517142,1175.7195769400112,927.870884821805,,939.1980100596463,
4N_R_dx,501.6899999999998,856.9799999999998,459.2599999999999,,791.54,
4N_R_dy,-756.9999999999999,-725.6299999999999,-793.1899999999996,,-456.8199999999996,
4N_R_dz,-510.0,-170.0,-590.0,,-310.0,
4N_R_dist,1041.557418532459,1135.7172259413871,1090.0321663602406,,965.0492650637062,
5N_L_dx,-168.2819999999998,1050.8580000000002,19.028000000000134,,269.32800000000043,
5N_L_dy,-983.5248000000001,-447.99480000000017,-839.1847999999999,,-93.18479999999965,
5N_L_dz,-320.0,240.0,-220.0,,180.0,
5N_L_dist,1047.8739732138786,1167.3053914854675,867.7518039941144,,337.07711066615036,
5N_R_dx,1286.7480000000005,-303.60199999999963,-362.6920000000001,,-387.83199999999965,
5N_R_dy,87.90520000000015,41.87520000000006,53.19520000000011,,-69.65480000000014,
5N_R_dz,-420.0,160.0,-100.0,,40.0,
5N_R_dist,1356.409871569446,345.72779289354185,379.967388294101,,396.0624336983246,
6N_L_dx,665.2729999999997,209.3629999999996,-309.6670000000006,,-237.82700000000034,
6N_L_dy,-466.67200000000037,-198.09200000000033,-356.0220000000004,,-90.18200000000036,
6N_L_dz,230.0,930.0,530.0,,730.0,
6N_L_dist,844.553681013232,973.6392074238794,709.6092695089324,,773.0423501031495,
6N_R_dx,239.4629999999995,626.4229999999998,-174.44700000000068,,-14.197000000000344,
6N_R_dy,-833.4220000000005,-399.452,-670.7620000000003,,-148.11200000000042,
6N_R_dz,-1230.0,-550.0,-1010.0,,-730.0,
6N_R_dist,1504.9367955010603,924.3742073603091,1224.9299638971204,,745.0092075625644,
7N_L_dx,975.6310000000008,1864.5910000000003,424.611000000001,,426.9010000000003,
