,x,y,Section
0,32694.339844,16725.058594,248
1,32703.347656,16788.117188,248
2,39289.722656,21040.681641,248
3,40537.371094,22067.628906,248
4,40947.25,22986.476562,248
5,41014.816406,19928.15625,248
6,41091.382812,21770.353516,248
7,41415.683594,22072.132812,248
8,41514.773438,22882.880859,248
9,41528.285156,21662.253906,248
10,41604.855469,21576.675781,248
11,41618.371094,22927.921875,248
12,41631.882812,22743.251953,248
13,41884.113281,22121.677734,248
14,41915.644531,21617.212891,248
15,42257.960938,21045.185547,248
16,42298.496094,21495.601562,248
17,42379.570312,21058.697266,248
18,42388.578125,20365.058594,248
19,42483.167969,20779.439453,248
20,42492.175781,21657.75,248
21,43356.972656,21202.830078,248
22,47240.113281,20207.914062,248
23,47898.5,20710.583984,248
