,section,name,side,vertices
0,367,VCA,R,"[[15450.64315379, 13041.15143737], [15292.37664626, 13017.6628743], [15179.54890638, 12960.47982512], [15093.98442709, 12883.08008427], [15026.59545486, 12792.20254897], [14968.29423616, 12694.58611645], [14909.99301746, 12596.96968393], [14851.69179876, 12499.35325141], [14802.47833359, 12394.99792167], [14796.35477976, 12272.77475656], [14860.27672616, 12169.03477021], [14971.37095313, 12128.90905857], [15124.07299159, 12135.39654273], [15255.07623853, 12179.10179747], [15376.99173193, 12229.54594943], [15498.90722534, 12279.99010139], [15602.64721169, 12343.91204779], [15697.29944451, 12414.57289142], [15791.95167733, 12485.23373505], [15868.42840309, 12569.37237312], [15863.11534709, 12714.1610862], [15792.45450346, 12808.81331902], [15716.22919076, 12886.46447294], [15625.35165546, 12953.85344517], [15519.82189757, 13010.98023571]]"
1,260,IO,R,"[[25199.46145603, 17916.30221869], [24976.10909173, 17885.37327378], [24799.16856523, 17879.58100427], [24634.28150803, 17866.31086267], [24493.75882363, 17830.22095346], [24374.12515032, 17877.47559256], [24247.01360492, 17912.67676235], [24126.40841322, 17869.36641525], [24102.48841012, 17758.36906794], [24301.92077133, 17678.30066555], [24540.41581534, 17607.38345756], [24766.34252164, 17559.67216847], [24928.32730394, 17541.35749938], [25200.53713095, 17522.71489739], [25377.22022325, 17536.37119029], [25537.40296615, 17573.104685], [25896.83113475, 17655.72286882], [26079.83364525, 17716.82073632], [26264.83741094, 17837.02749643], [26443.77919264, 17901.92865854], [26633.74470684, 17990.80804215], [26800.11815084, 18078.91512316], [26934.26319864, 18189.58453756], [27181.07891604, 18225.21779677], [27316.51113484, 18296.56709418], [27352.22717303, 18407.95059278], [27216.47930163, 18466.48639858], [26989.70979403, 18419.70068977], [26830.55678793, 18351.51110146], [26624.99194403, 18258.18483775], [26349.68062633, 18131.08557264], [26182.66359683, 18062.63855013], [25960.98455484, 17980.59345312], [25635.52860343, 17942.38585191], [25470.38411203, 17936.9797337]]"
2,286,LRt,R,"[[29069.49187508, 17203.67921491], [28909.89373811, 17192.34631252], [28767.38870508, 17166.18688668], [28667.61643189, 17102.96115219], [28576.39071066, 17032.32215597], [28485.16498943, 16961.68315975], [28402.48582018, 16883.63090181], [28294.16699501, 16827.81842905], [28185.84816985, 16772.00595629], [28086.07589666, 16708.7802218], [27994.85017543, 16638.14122558], [27912.17100617, 16560.08896763], [27863.67804479, 16452.38366277], [27873.87765693, 16308.7453395], [27951.92991488, 16226.06617024], [28075.02838832, 16186.68640594], [28210.12015962, 16204.29927981], [28335.53208872, 16245.28522912], [28443.85091388, 16301.09770188], [28543.62318708, 16364.32343636], [28660.48856421, 16412.7226474], [28785.9004933, 16453.7085967], [28919.85897437, 16487.28128427], [29045.27090346, 16528.26723357], [29170.68283256, 16569.25318287], [29287.54820969, 16617.65239391], [29404.41358682, 16666.05160494], [29512.73241198, 16721.8640777], [29595.41158124, 16799.91633564], [29619.39817696, 16913.901612], [29548.75918075, 17005.12733322], [29441.620521, 17045.64038776], [29318.52204756, 17085.02015207], [29211.38338782, 17125.53320661], [29111.09134468, 17182.57271996]]"
3,276,LRt,R,"[[29219.12776439, 16422.80664145], [29084.80597749, 16390.71836374], [28967.41218101, 16343.61532195], [28858.48237972, 16289.00489811], [28758.01657364, 16226.88709221], [28649.08677236, 16172.27666837], [28540.15697108, 16117.66624453], [28422.76317459, 16070.56320273], [28322.29736851, 16008.44539684], [28230.29555763, 15938.8202089], [28155.22173716, 15854.18025687], [28080.14791669, 15769.54030484], [28013.53809143, 15677.39297076], [27938.46427095, 15592.75301873], [27871.85444569, 15500.60568465], [27822.17261083, 15393.44358648], [27789.41876637, 15271.26672421], [27889.55178907, 15205.13520552], [28009.81542503, 15204.32411557], [28135.67321672, 15243.91977532], [28236.1390228, 15306.03758121], [28336.60482888, 15368.1553871], [28420.14264455, 15445.28795708], [28503.68046023, 15522.42052707], [28604.14626631, 15584.53833296], [28704.61207239, 15646.65613885], [28805.07787847, 15708.77394474], [28905.54368455, 15770.89175063], [28989.08150022, 15848.02432061], [29055.69132549, 15940.17165469], [29105.37316035, 16047.33375286], [29155.05499521, 16154.49585104], [29213.20082528, 16254.15056716], [29220.56268412, 16398.84957557]]"
4,202,SC,S,"[[21584.44352233, 7847.78193722], [21497.5691384, 7844.00330133], [21410.69475446, 7840.22466544], [21323.82037053, 7836.44602955], [21236.9459866, 7832.66739366], [21168.20220663, 7812.26960816], [21135.71963459, 7758.63352345], [21103.23706255, 7704.99743873], [21070.75449051, 7651.36135402], [21056.40252244, 7581.10611969], [21023.9199504, 7527.47003497], [20991.43737836, 7473.83395026], [20995.21601425, 7386.95956633], [20998.99465014, 7300.08518239], [21002.77328603, 7213.21079846], [21006.55192192, 7126.33641453], [21027.70543459, 7040.21775777], [21030.7283433, 6970.71825062], [21051.1261288, 6901.97447066], [21071.5239143, 6833.23069069], [21075.30255019, 6746.35630675], [21095.70033569, 6677.61252679], [21133.47299798, 6609.62447399], [21169.73420591, 6576.38617478], [21224.1260178, 6526.52872595], [21260.38722573, 6493.29042673], [21314.77903762, 6443.43297791], [21351.04024555, 6410.19467869], [21405.43205745, 6360.33722986], [21441.69326537, 6327.09893065], [21496.08507727, 6277.24148182], [21549.72116198, 6244.75890978], [21585.98236991, 6211.52061056], [21640.37418181, 6161.66316174], [21694.01026652, 6129.1805897], [21730.27147445, 6095.94229048], [21783.90755917, 6063.45971844], [21838.29937106, 6013.60226962], [21891.93545578, 5981.11969758], [21945.57154049, 5948.63712554], [21981.83274842, 5915.39882632], [22035.46883314, 5882.91625428], [22089.86064503, 5833.05880546], [22143.49672975, 5800.57623342], [22196.37708729, 5785.46853816], [22267.38804879, 5753.7416933], [22321.02413351, 5721.25912126], [22374.66021822, 5688.77654922], [22427.54057576, 5673.66885397], [22481.17666048, 5641.18628193], [22551.4318948, 5626.83431386], [22622.4428563, 5595.107469], [22692.69809063, 5580.75550092], [22762.95332495, 5566.40353285], [22833.20855928, 5552.05156477], [22886.08891681, 5536.94386952], [22955.58842396, 5539.96677823], [23042.46280789, 5543.74541412], [23129.33719183, 5547.52405001], [23216.21157576, 5551.3026859], [23303.08595969, 5555.08132179], [23371.82973966, 5575.47910729], [23440.57351963, 5595.87689279], [23509.3172996, 5616.27467829], [23578.06107957, 5636.67246378], [23664.9354635, 5640.45109967], [23733.67924347, 5660.84888517], [23802.42302344, 5681.24667067], [23853.03619944, 5718.26360578], [23921.77997941, 5738.66139128], [23990.52375938, 5759.05917678], [24059.26753935, 5779.45696228], [24128.01131932, 5799.85474777], [24196.75509929, 5820.25253327], [24247.36827529, 5857.26946838], [24316.11205526, 5877.66725388], [24366.72523126, 5914.68418899], [24435.46901123, 5935.08197448], [24504.2127912, 5955.47975998], [24554.8259672, 5992.49669509], [24605.43914321, 6029.5136302], [24656.05231921, 6066.5305653], [24724.79609918, 6086.9283508], [24775.40927518, 6123.94528591], [24826.02245119, 6160.96222102], [24876.63562719, 6197.97915612], [24909.11819923, 6251.61524084], [24923.47016731, 6321.87047517], [24937.82213538, 6392.12570949], [24970.30470742, 6445.76179421], [24984.65667549, 6516.01702853], [25017.13924753, 6569.65311325], [25013.36061164, 6656.52749718], [24976.34367654, 6707.14067318], [24955.94589104, 6775.88445315], [24918.92895593, 6826.49762916], [24898.53117043, 6895.24140912], [24861.51423533, 6945.85458513], [24824.49730022, 6996.46776113], [24771.61694268, 7011.57545639], [24717.98085796, 7044.05802842], [24664.34477325, 7076.54060046], [24593.33381175, 7108.26744533], [24539.69772703, 7140.75001736], [24486.81736949, 7155.85771262], [24416.56213517, 7170.20968069], [24346.30690084, 7184.56164877], [24276.05166652, 7198.91361684], [24205.79643219, 7213.26558492], [24135.54119787, 7227.61755299], [24065.28596354, 7241.96952107], [23995.03072922, 7256.32148914], [23908.15634529, 7252.54285325], [23821.28196135, 7248.76421736], [23734.40757742, 7244.98558147], [23647.53319349, 7241.20694558], [23577.27795916, 7255.55891366], [23490.40357523, 7251.78027777], [23402.77346412, 7265.37651866], [23333.27395697, 7262.35360995], [23246.39957304, 7258.57497406], [23176.14433871, 7272.92694213], [23105.88910439, 7287.27891021], [23035.63387006, 7301.63087828], [22965.37863574, 7315.98284636], [22895.12340141, 7330.33481443], [22824.86816709, 7344.68678251], [22754.61293277, 7359.03875058], [22683.60197126, 7390.76559544], [22630.72161373, 7405.8732907], [22559.71065222, 7437.60013556], [22506.83029468, 7452.70783081], [22436.57506036, 7467.05979889], [22365.56409886, 7498.78664375], [22312.68374132, 7513.894339], [22259.0476566, 7546.37691104], [22188.0366951, 7578.1037559], [22135.15633756, 7593.21145115], [22081.52025285, 7625.69402319], [22010.50929134, 7657.42086805], [21957.62893381, 7672.52856331], [21903.99284909, 7705.01113535], [21832.98188759, 7736.73798021], [21780.10153005, 7751.84567546], [21726.46544533, 7784.3282475], [21655.45448383, 7816.05509236], [21602.57412629, 7831.16278761]]"
5,298,7N,R,"[[22598.05535697, 17218.85607078], [22439.1261721, 17200.37596808], [22289.0674516, 17174.87341127], [22147.87919549, 17142.34840034], [22024.43186813, 17095.7784812], [21883.24361202, 17063.25347028], [21759.79628466, 17016.68355114], [21636.34895731, 16970.113632], [21521.77209433, 16916.52125876], [21451.54755325, 16827.81661497], [21390.19347654, 16732.08951707], [21373.19172173, 16601.25014863], [21405.71673265, 16460.06189252], [21474.27801925, 16355.27949906], [21555.0362038, 16284.13095284], [21664.80820991, 16240.51780489], [21782.52667527, 16197.82866208], [21899.32113549, 16163.08597851], [22044.20541215, 16163.82515246], [22196.11214291, 16173.43479079], [22355.04132778, 16191.91489349], [22496.2295839, 16224.43990441], [22628.54737563, 16263.98736945], [22743.12423861, 16317.57974269], [22857.70110158, 16371.17211594], [22954.5370358, 16438.8093974], [23033.63204127, 16520.49158708], [23094.98611797, 16616.21868498], [23147.4697303, 16718.96823699], [23164.47148511, 16849.80760543], [23149.68740294, 16976.95095332], [23097.01903483, 17083.58135706], [22994.26948282, 17136.06496938], [22877.4750226, 17170.80765295], [22753.65810827, 17196.67987214], [22622.81873983, 17213.68162695]]"
6,349,VCA,R,"[[17484.23743992, 13007.06117054], [17326.03000502, 12983.17796426], [17176.92710218, 12952.57854655], [17046.03326346, 12908.54670598], [16906.03489267, 12871.23107684], [16775.14105395, 12827.19923627], [16662.45627934, 12769.73497284], [16549.77150474, 12712.27070941], [16437.08673013, 12654.80644597], [16324.40195552, 12597.34218254], [16184.40358474, 12560.0265534], [16062.16552762, 12565.84526393], [15939.92747051, 12571.66397446], [15872.76535619, 12480.61865387], [15924.70756851, 12350.91897546], [15975.45562051, 12229.12966879], [16031.72572363, 12124.35526593], [16110.53278167, 12031.07371576], [16201.57810226, 11963.91160144], [16339.63690287, 11960.48121154], [16491.12812634, 11975.25988576], [16649.33556124, 11999.14309204], [16794.11057328, 12004.8172342], [16932.16937388, 12001.3868443], [17083.66059735, 12016.16551852], [17235.15182082, 12030.94419274], [17347.83659543, 12088.40845617], [17442.31230592, 12159.30514246], [17509.47442023, 12250.35046305], [17585.7410666, 12334.67957221], [17671.11224503, 12412.29246994], [17756.48342346, 12489.90536766], [17832.75006983, 12574.23447682], [17909.0167162, 12658.56358598], [17985.28336257, 12742.89269514], [18043.34094483, 12840.65422716], [18029.01102106, 12935.5786881], [17939.15986078, 12994.83043067], [17807.81727161, 13007.36535262], [17663.04225957, 13001.69121046], [17524.98345896, 13005.12160036]]"
7,314,Sp5C,R,"[[23369.33378039, 15706.85514594], [23282.60939718, 15700.50549796], [23195.88501396, 15694.15584997], [23127.77543699, 15671.73125495], [23059.66586002, 15649.30665992], [22991.55628304, 15626.88206489], [22960.67631855, 15572.30757577], [22911.18154781, 15533.8080337], [22880.30158332, 15479.23354458], [22849.42161882, 15424.65905546], [22818.54165433, 15370.08456634], [22806.27649607, 15299.43513017], [22775.39653158, 15244.86064105], [22781.74617956, 15158.13625784], [22788.09582754, 15071.41187463], [22794.44547552, 14984.68749142], [22800.7951235, 14897.9631082], [22807.14477148, 14811.23872499], [22813.49441947, 14724.51434178], [22819.84406745, 14637.78995857], [22826.19371543, 14551.06557536], [22832.54336341, 14464.34119214], [22838.89301139, 14377.61680893], [22826.62785314, 14306.96737277], [22832.97750112, 14220.24298955], [22802.09753662, 14165.66850043], [22789.83237837, 14095.01906427], [22758.95241387, 14040.44457515], [22746.68725561, 13969.79513898], [22715.80729112, 13915.22064986], [22684.92732662, 13860.64616074], [22672.66216837, 13789.99672458], [22679.01181635, 13703.27234137], [22666.74665809, 13632.6229052], [22654.48149983, 13561.97346903], [22660.83114782, 13475.24908582], [22684.52567244, 13389.79463221], [22705.68033787, 13339.02993188], [22728.1049329, 13270.9203549], [22749.25959833, 13220.15565457], [22835.98398154, 13226.50530255], [22922.70836475, 13232.85495054], [22990.81794173, 13255.27954556], [23058.9275187, 13277.70414059], [23127.03709567, 13300.12873562], [23195.14667265, 13322.55333065], [23244.64144338, 13361.05287272], [23312.75102035, 13383.47746775], [23362.24579109, 13421.97700982], [23411.74056182, 13460.4765519], [23461.23533256, 13498.97609397], [23492.11529705, 13553.55058309], [23522.99526155, 13608.12507221], [23553.87522604, 13662.69956133], [23584.75519054, 13717.27405045], [23597.0203488, 13787.92348662], [23609.28550705, 13858.57292278], [23640.16547155, 13913.1474119], [23633.81582357, 13999.87179511], [23646.08098182, 14070.52123128], [23658.34614008, 14141.17066745], [23670.61129834, 14211.82010361], [23682.8764566, 14282.46953978], [23695.14161485, 14353.11897594], [23688.79196687, 14439.84335915], [23701.05712513, 14510.49279532], [23713.32228338, 14581.14223149], [23725.58744164, 14651.79166765], [23719.23779366, 14738.51605086], [23731.50295192, 14809.16548703], [23725.15330393, 14895.88987024], [23718.80365595, 14982.61425345], [23712.45400797, 15069.33863667], [23706.10435999, 15156.06301988], [23683.67976496, 15224.17259685], [23661.25516993, 15292.28217382], [23638.8305749, 15360.3917508], [23616.40597988, 15428.50132777], [23595.25131445, 15479.2660281], [23555.48184277, 15546.10567548], [23516.9823007, 15595.60044621], [23479.75268822, 15627.7503403], [23423.90826951, 15675.97518144]]"
8,307,8n,R,"[[19955.53777669, 12596.91275557], [19795.74893902, 12588.69525254], [19686.36200357, 12535.00634911], [19602.17601921, 12458.58174549], [19526.39035189, 12374.57857514], [19467.40531865, 12275.41827133], [19506.34796376, 12141.24125991], [19567.20455876, 12048.24408337], [19666.77573773, 11981.26960824], [19795.42855817, 11971.8647269], [19921.6161277, 12010.39649686], [20014.20242909, 12079.24253375], [20081.58777937, 12170.82427084], [20132.17249558, 12277.56314138], [20149.15594365, 12414.61627886], [20095.87791538, 12516.01377243], [19996.71761157, 12574.99880568]]"
9,178,SC,S,"[[21705.16210768, 8867.11147233], [21618.28178549, 8863.47192711], [21531.40146331, 8859.83238189], [21462.6251146, 8839.54468128], [21411.95273937, 8802.60882528], [21361.28036415, 8765.67296927], [21310.60798892, 8728.73711326], [21259.9356137, 8691.80125726], [21209.26323847, 8654.86540125], [21158.59086324, 8617.92954524], [21126.0224615, 8564.34553384], [21093.45405975, 8510.76152244], [21078.98963149, 8440.52935565], [21046.42122975, 8386.94534425], [21013.852828, 8333.36133285], [20999.38839974, 8263.12916605], [20966.81999799, 8209.54515465], [20970.45954321, 8122.66483247], [20974.09908843, 8035.78451028], [20977.73863365, 7948.90418809], [20981.37817887, 7862.0238659], [20985.01772408, 7775.14354371], [21021.95358009, 7724.47116849], [21059.61734514, 7656.42272882], [21079.17713671, 7605.02244455], [21116.11299271, 7554.35006933], [21153.77675776, 7486.30162966], [21173.33654933, 7434.90134539], [21210.27240534, 7384.22897017], [21264.58432578, 7334.28450399], [21300.79227275, 7300.9881932], [21354.37628415, 7268.41979145], [21408.68820459, 7218.47532527], [21444.89615155, 7185.17901448], [21498.48016295, 7152.61061274], [21552.7920834, 7102.66614656], [21606.3760948, 7070.09774481], [21642.58404176, 7036.80143402], [21696.8959622, 6986.85696784], [21733.10390917, 6953.56065705], [21786.68792057, 6920.99225531], [21840.99984101, 6871.04778913], [21877.20778797, 6837.75147834], [21931.51970842, 6787.80701215], [21985.10371982, 6755.23861041], [22038.68773122, 6722.67020867], [22092.27174262, 6690.10180692], [22145.85575402, 6657.53340518], [22199.43976542, 6624.96500343], [22253.02377682, 6592.39660169], [22306.60778822, 6559.82819994], [22360.19179962, 6527.2597982], [22413.04790198, 6512.06746089], [22466.63191338, 6479.49905915], [22537.59198921, 6447.65856645], [22591.17600061, 6415.0901647], [22644.76001201, 6382.52176296], [22697.61611437, 6367.32942565], [22768.57619021, 6335.48893295], [22822.16020161, 6302.9205312], [22892.3923684, 6288.45610294], [22945.9763798, 6255.8877012], [23016.2085466, 6241.42327293], [23069.792558, 6208.85487119], [23122.64866036, 6193.66253388], [23192.88082715, 6179.19810562], [23263.11299394, 6164.73367735], [23334.07306978, 6132.89318465], [23404.30523658, 6118.42875639], [23474.53740337, 6103.96432813], [23544.76957017, 6089.49989986], [23615.00173696, 6075.0354716], [23701.88205915, 6078.67501682], [23788.76238134, 6082.31456204], [23875.64270353, 6085.95410725], [23962.52302571, 6089.59365247], [24032.75519251, 6075.12922421], [24101.53154122, 6095.41692482], [24170.30788992, 6115.70462543], [24239.08423863, 6135.99232604], [24325.96456082, 6139.63187126], [24394.74090953, 6159.91957188], [24463.51725823, 6180.20727249], [24514.18963346, 6217.14312849], [24564.86200868, 6254.0789845], [24615.53438391, 6291.01484051], [24666.20675914, 6327.95069651], [24716.87913436, 6364.88655252], [24767.55150959, 6401.82240852], [24836.32785829, 6422.11010914], [24850.79228656, 6492.34227593], [24883.3606883, 6545.92628733], [24915.92909005, 6599.51029873], [24930.39351831, 6669.74246553], [24962.96192006, 6723.32647693], [24995.5303218, 6776.91048833], [25009.99475006, 6847.14265512], [25006.35520485, 6934.02297731], [25002.71565963, 7020.9032995], [24999.07611441, 7107.78362169], [24995.43656919, 7194.66394387], [24991.79702397, 7281.54426606], [24988.8853878, 7351.04852381], [24968.59768719, 7419.82487252], [24930.93392214, 7487.87331218], [24910.64622152, 7556.64966089], [24890.35852091, 7625.4260096], [24870.0708203, 7694.20235831], [24833.13496429, 7744.87473353], [24779.55095289, 7777.44313528], [24725.96694149, 7810.01153702], [24689.75899453, 7843.30784781], [24636.17498313, 7875.87624955], [24582.59097173, 7908.4446513], [24529.00696033, 7941.01305304], [24475.42294893, 7973.58145479], [24405.19078214, 7988.04588305], [24334.95861534, 8002.51031131], [24263.9985395, 8034.35080402], [24211.14243715, 8049.54314132], [24140.91027035, 8064.00756959], [24070.67810356, 8078.47199785], [23999.71802772, 8110.31249055], [23946.86192536, 8125.50482786], [23876.62975857, 8139.96925612], [23806.39759177, 8154.43368438], [23735.43751594, 8186.27417708], [23682.58141358, 8201.46651439], [23612.34924679, 8215.93094265], [23541.38917095, 8247.77143536], [23488.53306859, 8262.96377266], [23434.94905719, 8295.53217441], [23364.7168904, 8309.99660267], [23311.132879, 8342.56500442], [23240.17280316, 8374.40549712], [23187.3167008, 8389.59783442], [23116.35662496, 8421.43832712], [23063.50052261, 8436.63066443], [22993.26835581, 8451.09509269], [22939.68434441, 8483.66349444], [22869.45217762, 8498.1279227], [22815.86816622, 8530.69632445], [22745.63599942, 8545.16075271], [22692.05198802, 8577.72915445], [22621.81982123, 8592.19358272], [22550.85974539, 8624.03407542], [22498.00364303, 8639.22641273], [22427.0435672, 8671.06690543], [22374.18746484, 8686.25924273], [22303.227389, 8718.09973543], [22250.37128664, 8733.29207274], [22179.41121081, 8765.13256544], [22126.55510845, 8780.32490275], [22055.59503261, 8812.16539545], [22002.73893026, 8827.35773276], [21932.50676346, 8841.82216102], [21862.27459667, 8856.28658928], [21775.39427448, 8852.64704407]]"
