,5N,6N,7N,7n,Amb,LC,LRt,Pn,Tz,VLL,RMC,SNC,SNR,3N,4N,Sp5I,Sp5O,Sp5C,PBG,10N,VCA,VCP,DC,AP,12N,RtTg,SC,IC
0.0,0.310901,0.016898,0.504004,0.371918,0.025404,0.151351,0.526585,0.814746,0.204095,0.787232,0.318231,0.302664,1.197264,0.124276,0.009177,1.000773,1.431773,1.768667,0.114157,0.167086,0.60264,0.361972,0.635676,0.100424,0.490552,1.553804,11.396428,9.821796
0.1,0.132938,0.007021,0.242143,0.112681,0.010241,0.049679,0.193161,0.391497,0.067323,0.247024,0.113579,0.065188,0.608904,0.041439,0.003853,0.481139,0.699375,0.834819,0.025852,0.033606,0.251121,0.124596,0.215153,0.03232,0.210146,0.696562,5.516359,4.369183
0.2,0.111095,0.005129,0.212579,0.092262,0.007188,0.038931,0.155834,0.34186,0.055066,0.15552,0.083959,0.048229,0.54518,0.03053,0.002553,0.402431,0.572114,0.669355,0.017818,0.025106,0.211414,0.099935,0.174392,0.02626,0.180944,0.584936,4.903856,3.73132
0.30000000000000004,0.097284,0.003955,0.193785,0.079425,0.00561,0.032134,0.132713,0.307198,0.047445,0.130036,0.070474,0.037501,0.501703,0.022872,0.001816,0.357853,0.502594,0.580251,0.012879,0.019726,0.187491,0.085206,0.153169,0.022398,0.161684,0.512944,4.468567,3.301319
0.4,0.086648,0.003115,0.178837,0.069427,0.004403,0.027018,0.114813,0.278069,0.041541,0.111533,0.060517,0.029596,0.466251,0.017044,0.001317,0.320941,0.450071,0.499511,0.009403,0.015761,0.168443,0.07395,0.136815,0.019339,0.146018,0.459522,4.109947,2.956852
0.5,0.077693,0.002468,0.165543,0.060868,0.003341,0.022794,0.098937,0.25264,0.036428,0.095954,0.05222,0.023208,0.434562,0.01372,0.000935,0.287716,0.408031,0.436475,0.007006,0.012437,0.151768,0.065209,0.122991,0.016713,0.132452,0.411768,3.790071,2.653574
0.6000000000000001,0.069522,0.001892,0.152835,0.053033,0.002575,0.01891,0.084288,0.228449,0.031673,0.081782,0.044975,0.017608,0.404465,0.011062,0.000631,0.257471,0.369355,0.376619,0.005147,0.00956,0.136541,0.057397,0.110388,0.014423,0.119824,0.365502,3.489871,2.366655
0.7000000000000001,0.061531,0.00137,0.139814,0.045315,0.001836,0.015286,0.069004,0.203464,0.026928,0.067911,0.038057,0.012469,0.373598,0.008614,0.000384,0.227624,0.330796,0.310118,0.00362,0.00687,0.121623,0.049886,0.09816,0.012199,0.107198,0.32221,3.192057,2.086116
0.8,0.052871,0.000902,0.125435,0.037075,0.001156,0.011562,0.054961,0.176978,0.021702,0.053182,0.031006,0.007208,0.33979,0.006192,0.000178,0.196202,0.288985,0.246041,0.002308,0.004198,0.106498,0.042006,0.085293,0.009899,0.093666,0.2763,2.871143,1.804027
0.9,0.041914,0.000439,0.106788,0.027354,0.000535,0.007481,0.039874,0.145912,0.015602,0.033127,0.023013,0.001592,0.297428,0.003797,2.1e-05,0.150696,0.234493,0.151877,0.001122,0.001224,0.088338,0.0324,0.069359,0.007136,0.076884,0.217116,2.466099,1.477805
1.0,0.00012,0.0,0.006906,0.0,0.0,0.0,0.0,0.006295,0.0,0.0,0.0,0.0,0.040482,0.0,0.0,0.010382,0.038226,0.000752,0.0,0.0,0.000538,5.1e-05,1.9e-05,0.0,0.0,0.001902,0.0,0.0
